City ID,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hermanus,0,ZA,1584741763,93,-34.42,19.23,60.01,5.99
1,East London,100,ZA,1584741775,74,-33.02,27.91,72.9,16.6
2,Coyhaique,40,CL,1584742021,52,-45.58,-72.07,66.2,9.17
3,Cape Town,6,ZA,1584741530,83,-33.93,18.42,66.0,1.01
4,Busselton,1,AU,1584741764,58,-33.65,115.33,64.0,15.3
5,Rikitea,75,PF,1584741761,79,-23.12,-134.97,79.56,14.97
6,Ola,51,RU,1584742021,85,59.58,151.28,-1.98,6.42
7,Ayan,0,RU,1584741801,71,56.45,138.17,7.02,4.41
8,New Norfolk,75,AU,1584741768,82,-42.78,147.06,55.99,8.05
9,Jaisalmer,0,IN,1584742021,47,26.91,70.92,75.96,18.39
10,Mersing,100,MY,1584742021,94,2.43,103.84,75.2,5.82
11,Port Lincoln,100,AU,1584741762,76,-34.73,135.87,61.56,9.08
12,Rock Sound,0,BS,1584742021,80,24.9,-76.2,73.62,17.02
13,Udachny,28,RU,1584742021,70,66.42,112.4,-5.8,8.95
14,Conde,20,BR,1584742021,78,-7.26,-34.91,82.4,6.93
15,Mataura,100,NZ,1584741767,88,-46.19,168.86,50.0,7.0
16,Parabel',98,RU,1584742021,95,58.7,81.48,30.6,10.51
17,Mar del Plata,56,AR,1584741552,63,-38.0,-57.56,66.2,5.82
18,Ushuaia,40,AR,1584741763,80,-54.8,-68.3,44.6,31.09
19,Qaqortoq,20,GL,1584741786,44,60.72,-46.03,19.4,13.87
20,Bemidji,1,US,1584742022,34,47.47,-94.88,25.0,3.36
21,Saint-Philippe,46,RE,1584741780,68,-21.36,55.77,71.6,6.93
22,Nautla,22,MX,1584742022,56,20.22,-96.78,87.84,7.31
23,Pevek,50,RU,1584741801,94,69.7,170.31,-13.14,9.57
24,Albany,1,US,1584741765,63,42.6,-73.97,70.0,9.17
25,Puerto Ayora,20,EC,1584741771,70,-0.74,-90.35,84.2,11.41
26,Saint Anthony,1,US,1584742022,34,45.02,-93.22,35.01,8.05
27,Margate,75,GB,1584741799,75,51.38,1.39,46.0,12.75
28,Kapaa,20,US,1584741764,78,22.08,-159.32,80.6,13.87
29,Floriano,100,BR,1584742023,89,-6.77,-43.02,75.24,3.33
30,Butaritari,62,KI,1584741762,80,3.07,172.79,82.62,16.98
31,Stornoway,0,GB,1584742023,86,58.21,-6.39,34.0,1.12
32,Ostrovnoy,100,RU,1584741769,91,68.05,39.51,17.28,19.53
33,Gravdal,75,NO,1584741781,54,68.12,13.5,30.2,9.17
34,Pekan,20,MY,1584742023,88,3.48,103.4,77.0,2.24
35,Valdivia,40,CL,1584742023,60,-39.81,-73.25,71.6,3.36
36,Bredasdorp,68,ZA,1584741766,77,-34.53,20.04,62.6,1.12
37,Marawi,95,PH,1584741792,91,8.0,124.29,73.0,4.0
38,Aden,0,YE,1584741731,78,12.78,45.04,79.02,9.48
39,Wagga Wagga,40,AU,1584742023,82,-35.12,147.37,55.4,1.12
40,Vaini,90,TO,1584741764,94,-21.2,-175.2,71.6,10.29
41,Iqaluit,75,CA,1584741792,71,63.75,-68.51,3.2,5.17
